task_id,category,task_description,prompt
26,data_analysis,Extract key metrics from customer data and create summary,You are a specialized data analysis agent. Extract key metrics from customer data and create summary. Provide a detailed analysis and actionable recommendations.
27,file_processing,Clean and normalize data in user.py,You are a specialized file processing agent. Clean and normalize data in user.py. Provide a detailed analysis and actionable recommendations.
28,documentation,Document database schema for payment processing,You are a specialized documentation agent. Document database schema for payment processing. Provide a detailed analysis and actionable recommendations.
29,file_processing,Convert CSV files to JSON,You are a specialized file processing agent. Convert CSV files to JSON. Provide a detailed analysis and actionable recommendations.
30,debugging,Investigate memory leak in notification,You are a specialized debugging agent. Investigate memory leak in notification. Provide a detailed analysis and actionable recommendations.
31,research,Investigate best practices for AWS,You are a specialized research agent. Investigate best practices for AWS. Provide a detailed analysis and actionable recommendations.
32,data_analysis,Process customer feedback and categorize sentiment,You are a specialized data analysis agent. Process customer feedback and categorize sentiment. Provide a detailed analysis and actionable recommendations.
33,debugging,Investigate why notifications is not working as expected,You are a specialized debugging agent. Investigate why notifications is not working as expected. Provide a detailed analysis and actionable recommendations.
34,testing,Perform regression testing after bug fix,You are a specialized testing agent. Perform regression testing after bug fix. Provide a detailed analysis and actionable recommendations.
35,code_review,Check service for race conditions and concurrency issues,You are a specialized code review agent. Check service for race conditions and concurrency issues. Provide a detailed analysis and actionable recommendations.
36,content_generation,Write release notes for v1.2,You are a specialized content generation agent. Write release notes for v1.2. Provide a detailed analysis and actionable recommendations.
37,file_processing,Split large JSON file into smaller chunks,You are a specialized file processing agent. Split large JSON file into smaller chunks. Provide a detailed analysis and actionable recommendations.
38,file_processing,Compress and archive logs,You are a specialized file processing agent. Compress and archive logs. Provide a detailed analysis and actionable recommendations.
39,testing,Perform regression testing after upgrade,You are a specialized testing agent. Perform regression testing after upgrade. Provide a detailed analysis and actionable recommendations.
40,file_processing,Clean and normalize data in payment.py,You are a specialized file processing agent. Clean and normalize data in payment.py. Provide a detailed analysis and actionable recommendations.
41,code_review,Analyze API for performance bottlenecks,You are a specialized code review agent. Analyze API for performance bottlenecks. Provide a detailed analysis and actionable recommendations.
42,data_analysis,Analyze performance metrics for API gateway,You are a specialized data analysis agent. Analyze performance metrics for API gateway. Provide a detailed analysis and actionable recommendations.
43,debugging,Debug intermittent failures in unit test,You are a specialized debugging agent. Debug intermittent failures in unit test. Provide a detailed analysis and actionable recommendations.
44,debugging,Investigate memory leak in payment,You are a specialized debugging agent. Investigate memory leak in payment. Provide a detailed analysis and actionable recommendations.
45,file_processing,Extract metadata from YAML files,You are a specialized file processing agent. Extract metadata from YAML files. Provide a detailed analysis and actionable recommendations.
46,optimization,Reduce bundle size for dashboard,You are a specialized optimization agent. Reduce bundle size for dashboard. Provide a detailed analysis and actionable recommendations.
47,debugging,Reproduce and analyze login failure,You are a specialized debugging agent. Reproduce and analyze login failure. Provide a detailed analysis and actionable recommendations.
48,debugging,Investigate data corruption in MySQL,You are a specialized debugging agent. Investigate data corruption in MySQL. Provide a detailed analysis and actionable recommendations.
49,file_processing,Parse CSV files and extract user info,You are a specialized file processing agent. Parse CSV files and extract user info. Provide a detailed analysis and actionable recommendations.
50,file_processing,Extract metadata from XML files,You are a specialized file processing agent. Extract metadata from XML files. Provide a detailed analysis and actionable recommendations.
51,debugging,Investigate data corruption in MySQL,You are a specialized debugging agent. Investigate data corruption in MySQL. Provide a detailed analysis and actionable recommendations.
52,debugging,Debug authentication issues in payment,You are a specialized debugging agent. Debug authentication issues in payment. Provide a detailed analysis and actionable recommendations.
53,security_audit,Review API security in authentication,You are a specialized security audit agent. Review API security in authentication. Provide a detailed analysis and actionable recommendations.
54,security_audit,Review secure coding practices in notification,You are a specialized security audit agent. Review secure coding practices in notification. Provide a detailed analysis and actionable recommendations.
55,research,Analyze competitor strategies for API gateway,You are a specialized research agent. Analyze competitor strategies for API gateway. Provide a detailed analysis and actionable recommendations.
56,research,Investigate security vulnerabilities in message queue,You are a specialized research agent. Investigate security vulnerabilities in message queue. Provide a detailed analysis and actionable recommendations.
57,research,Research regulatory requirements for entertainment,You are a specialized research agent. Research regulatory requirements for entertainment. Provide a detailed analysis and actionable recommendations.
58,content_generation,Generate product descriptions for users,You are a specialized content generation agent. Generate product descriptions for users. Provide a detailed analysis and actionable recommendations.
59,documentation,Write onboarding guide for frontend app,You are a specialized documentation agent. Write onboarding guide for frontend app. Provide a detailed analysis and actionable recommendations.
60,testing,Create end-to-end tests for deployment,You are a specialized testing agent. Create end-to-end tests for deployment. Provide a detailed analysis and actionable recommendations.
61,content_generation,Write email templates for support,You are a specialized content generation agent. Write email templates for support. Provide a detailed analysis and actionable recommendations.
62,file_processing,Deduplicate entries in user data,You are a specialized file processing agent. Deduplicate entries in user data. Provide a detailed analysis and actionable recommendations.
63,code_review,Evaluate error handling in backend,You are a specialized code review agent. Evaluate error handling in backend. Provide a detailed analysis and actionable recommendations.
64,data_analysis,Identify anomalies in categorical data,You are a specialized data analysis agent. Identify anomalies in categorical data. Provide a detailed analysis and actionable recommendations.
65,code_review,Analyze backend for performance bottlenecks,You are a specialized code review agent. Analyze backend for performance bottlenecks. Provide a detailed analysis and actionable recommendations.
66,optimization,Improve API response time for /orders,You are a specialized optimization agent. Improve API response time for /orders. Provide a detailed analysis and actionable recommendations.
67,security_audit,Audit infrastructure security configuration,You are a specialized security audit agent. Audit infrastructure security configuration. Provide a detailed analysis and actionable recommendations.
68,data_analysis,Generate insights from user behavior data,You are a specialized data analysis agent. Generate insights from user behavior data. Provide a detailed analysis and actionable recommendations.
69,content_generation,Draft a technical specification for frontend,You are a specialized content generation agent. Draft a technical specification for frontend. Provide a detailed analysis and actionable recommendations.
70,documentation,Create troubleshooting guide for memory leak,You are a specialized documentation agent. Create troubleshooting guide for memory leak. Provide a detailed analysis and actionable recommendations.
71,debugging,Reproduce and analyze sync issue,You are a specialized debugging agent. Reproduce and analyze sync issue. Provide a detailed analysis and actionable recommendations.
72,security_audit,Review API security in payment,You are a specialized security audit agent. Review API security in payment. Provide a detailed analysis and actionable recommendations.
73,research,Analyze competitor strategies for data pipeline,You are a specialized research agent. Analyze competitor strategies for data pipeline. Provide a detailed analysis and actionable recommendations.
74,content_generation,Draft a technical specification for data pipeline,You are a specialized content generation agent. Draft a technical specification for data pipeline. Provide a detailed analysis and actionable recommendations.
75,security_audit,Scan frontend for common vulnerabilities,You are a specialized security audit agent. Scan frontend for common vulnerabilities. Provide a detailed analysis and actionable recommendations.
76,debugging,Investigate memory leak in payment,You are a specialized debugging agent. Investigate memory leak in payment. Provide a detailed analysis and actionable recommendations.
77,file_processing,Compress and archive logs,You are a specialized file processing agent. Compress and archive logs. Provide a detailed analysis and actionable recommendations.
78,optimization,Optimize resource utilization in API,You are a specialized optimization agent. Optimize resource utilization in API. Provide a detailed analysis and actionable recommendations.
79,data_analysis,Identify anomalies in time-series data,You are a specialized data analysis agent. Identify anomalies in time-series data. Provide a detailed analysis and actionable recommendations.
80,testing,Test API endpoints in notification,You are a specialized testing agent. Test API endpoints in notification. Provide a detailed analysis and actionable recommendations.
81,documentation,Document database schema for data pipeline,You are a specialized documentation agent. Document database schema for data pipeline. Provide a detailed analysis and actionable recommendations.
82,optimization,Improve API response time for /orders,You are a specialized optimization agent. Improve API response time for /orders. Provide a detailed analysis and actionable recommendations.
83,debugging,Investigate data corruption in MongoDB,You are a specialized debugging agent. Investigate data corruption in MongoDB. Provide a detailed analysis and actionable recommendations.
84,testing,Test API endpoints in authentication,You are a specialized testing agent. Test API endpoints in authentication. Provide a detailed analysis and actionable recommendations.
85,optimization,Optimize resource utilization in authentication,You are a specialized optimization agent. Optimize resource utilization in authentication. Provide a detailed analysis and actionable recommendations.
86,code_review,Analyze frontend for performance bottlenecks,You are a specialized code review agent. Analyze frontend for performance bottlenecks. Provide a detailed analysis and actionable recommendations.
87,content_generation,Write email templates for onboarding,You are a specialized content generation agent. Write email templates for onboarding. Provide a detailed analysis and actionable recommendations.
88,optimization,Improve algorithm efficiency in search,You are a specialized optimization agent. Improve algorithm efficiency in search. Provide a detailed analysis and actionable recommendations.
89,debugging,Debug NullPointer error in queue,You are a specialized debugging agent. Debug NullPointer error in queue. Provide a detailed analysis and actionable recommendations.
90,code_review,Check handler for race conditions and concurrency issues,You are a specialized code review agent. Check handler for race conditions and concurrency issues. Provide a detailed analysis and actionable recommendations.
91,code_review,Audit API for memory leaks,You are a specialized code review agent. Audit API for memory leaks. Provide a detailed analysis and actionable recommendations.
92,debugging,Investigate memory leak in authentication,You are a specialized debugging agent. Investigate memory leak in authentication. Provide a detailed analysis and actionable recommendations.
93,code_review,Review test coverage for authentication,You are a specialized code review agent. Review test coverage for authentication. Provide a detailed analysis and actionable recommendations.
94,security_audit,Audit authentication implementation in frontend,You are a specialized security audit agent. Audit authentication implementation in frontend. Provide a detailed analysis and actionable recommendations.
95,optimization,Optimize caching strategy for data pipeline,You are a specialized optimization agent. Optimize caching strategy for data pipeline. Provide a detailed analysis and actionable recommendations.
96,data_analysis,Calculate statistical correlations in user data,You are a specialized data analysis agent. Calculate statistical correlations in user data. Provide a detailed analysis and actionable recommendations.
97,security_audit,Scan backend for common vulnerabilities,You are a specialized security audit agent. Scan backend for common vulnerabilities. Provide a detailed analysis and actionable recommendations.
98,data_analysis,Analyze churn patterns in customer data,You are a specialized data analysis agent. Analyze churn patterns in customer data. Provide a detailed analysis and actionable recommendations.
99,security_audit,Audit infrastructure security configuration,You are a specialized security audit agent. Audit infrastructure security configuration. Provide a detailed analysis and actionable recommendations.
100,research,Research market trends in transportation,You are a specialized research agent. Research market trends in transportation. Provide a detailed analysis and actionable recommendations.
101,documentation,Document deployment process for mobile app,You are a specialized documentation agent. Document deployment process for mobile app. Provide a detailed analysis and actionable recommendations.
102,content_generation,Create documentation for login,You are a specialized content generation agent. Create documentation for login. Provide a detailed analysis and actionable recommendations.
103,optimization,Optimize resource utilization in authentication,You are a specialized optimization agent. Optimize resource utilization in authentication. Provide a detailed analysis and actionable recommendations.
104,documentation,Create troubleshooting guide for slow response,You are a specialized documentation agent. Create troubleshooting guide for slow response. Provide a detailed analysis and actionable recommendations.
105,data_analysis,Analyze performance metrics for backend,You are a specialized data analysis agent. Analyze performance metrics for backend. Provide a detailed analysis and actionable recommendations.
106,optimization,Optimize caching strategy for API gateway,You are a specialized optimization agent. Optimize caching strategy for API gateway. Provide a detailed analysis and actionable recommendations.
107,debugging,Trace the root cause of slow response,You are a specialized debugging agent. Trace the root cause of slow response. Provide a detailed analysis and actionable recommendations.
108,data_analysis,Identify top performing features based on revenue,You are a specialized data analysis agent. Identify top performing features based on revenue. Provide a detailed analysis and actionable recommendations.
109,documentation,Write onboarding guide for frontend app,You are a specialized documentation agent. Write onboarding guide for frontend app. Provide a detailed analysis and actionable recommendations.
110,testing,Create unit tests for payment,You are a specialized testing agent. Create unit tests for payment. Provide a detailed analysis and actionable recommendations.
111,data_analysis,Extract key metrics from sales data and create summary,You are a specialized data analysis agent. Extract key metrics from sales data and create summary. Provide a detailed analysis and actionable recommendations.
112,data_analysis,Analyze sales data from database and identify trends,You are a specialized data analysis agent. Analyze sales data from database and identify trends. Provide a detailed analysis and actionable recommendations.
113,optimization,Reduce bundle size for mobile app,You are a specialized optimization agent. Reduce bundle size for mobile app. Provide a detailed analysis and actionable recommendations.
114,debugging,Debug intermittent failures in unit test,You are a specialized debugging agent. Debug intermittent failures in unit test. Provide a detailed analysis and actionable recommendations.
115,testing,Perform regression testing after refactoring,You are a specialized testing agent. Perform regression testing after refactoring. Provide a detailed analysis and actionable recommendations.
116,debugging,Investigate data corruption in Redis,You are a specialized debugging agent. Investigate data corruption in Redis. Provide a detailed analysis and actionable recommendations.
117,code_review,Review admin.py for security vulnerabilities,You are a specialized code review agent. Review admin.py for security vulnerabilities. Provide a detailed analysis and actionable recommendations.
118,security_audit,Review secure coding practices in analytics,You are a specialized security audit agent. Review secure coding practices in analytics. Provide a detailed analysis and actionable recommendations.
119,code_review,Audit cache for memory leaks,You are a specialized code review agent. Audit cache for memory leaks. Provide a detailed analysis and actionable recommendations.
120,optimization,Optimize caching strategy for database,You are a specialized optimization agent. Optimize caching strategy for database. Provide a detailed analysis and actionable recommendations.
121,research,Investigate best practices for serverless,You are a specialized research agent. Investigate best practices for serverless. Provide a detailed analysis and actionable recommendations.
122,security_audit,Review encryption practices in API,You are a specialized security audit agent. Review encryption practices in API. Provide a detailed analysis and actionable recommendations.
123,testing,Perform integration testing on message queue,You are a specialized testing agent. Perform integration testing on message queue. Provide a detailed analysis and actionable recommendations.
124,code_review,Review auth.py for security vulnerabilities,You are a specialized code review agent. Review auth.py for security vulnerabilities. Provide a detailed analysis and actionable recommendations.
125,security_audit,Audit logging and monitoring setup,You are a specialized security audit agent. Audit logging and monitoring setup. Provide a detailed analysis and actionable recommendations.
126,code_review,Review admin.py for security vulnerabilities,You are a specialized code review agent. Review admin.py for security vulnerabilities. Provide a detailed analysis and actionable recommendations.
127,data_analysis,Extract key metrics from user data and create summary,You are a specialized data analysis agent. Extract key metrics from user data and create summary. Provide a detailed analysis and actionable recommendations.
128,content_generation,Write user guides for API,You are a specialized content generation agent. Write user guides for API. Provide a detailed analysis and actionable recommendations.
129,data_analysis,Analyze sales data from database and identify trends,You are a specialized data analysis agent. Analyze sales data from database and identify trends. Provide a detailed analysis and actionable recommendations.
130,debugging,Investigate memory leak in payment,You are a specialized debugging agent. Investigate memory leak in payment. Provide a detailed analysis and actionable recommendations.
131,file_processing,Validate XML files for correct structure,You are a specialized file processing agent. Validate XML files for correct structure. Provide a detailed analysis and actionable recommendations.
132,documentation,Create architecture diagrams for message queue,You are a specialized documentation agent. Create architecture diagrams for message queue. Provide a detailed analysis and actionable recommendations.
133,file_processing,Parse XML files and extract transactions,You are a specialized file processing agent. Parse XML files and extract transactions. Provide a detailed analysis and actionable recommendations.
134,testing,Create unit tests for notification,You are a specialized testing agent. Create unit tests for notification. Provide a detailed analysis and actionable recommendations.
135,documentation,Document configuration options for CLI,You are a specialized documentation agent. Document configuration options for CLI. Provide a detailed analysis and actionable recommendations.
136,debugging,Debug performance degradation in cache layer,You are a specialized debugging agent. Debug performance degradation in cache layer. Provide a detailed analysis and actionable recommendations.
137,research,Investigate security vulnerabilities in message queue,You are a specialized research agent. Investigate security vulnerabilities in message queue. Provide a detailed analysis and actionable recommendations.
138,code_review,Analyze Boto3 integration for proper usage,You are a specialized code review agent. Analyze Boto3 integration for proper usage. Provide a detailed analysis and actionable recommendations.
139,optimization,Improve API response time for /users,You are a specialized optimization agent. Improve API response time for /users. Provide a detailed analysis and actionable recommendations.
140,debugging,Debug performance degradation in database,You are a specialized debugging agent. Debug performance degradation in database. Provide a detailed analysis and actionable recommendations.
141,code_review,Check authentication for code quality and best practices,You are a specialized code review agent. Check authentication for code quality and best practices. Provide a detailed analysis and actionable recommendations.
142,testing,Test cross-browser compatibility for search,You are a specialized testing agent. Test cross-browser compatibility for search. Provide a detailed analysis and actionable recommendations.
143,file_processing,Deduplicate entries in user data,You are a specialized file processing agent. Deduplicate entries in user data. Provide a detailed analysis and actionable recommendations.
144,testing,Perform accessibility testing on form,You are a specialized testing agent. Perform accessibility testing on form. Provide a detailed analysis and actionable recommendations.
145,code_review,Review admin.py for security vulnerabilities,You are a specialized code review agent. Review admin.py for security vulnerabilities. Provide a detailed analysis and actionable recommendations.
146,optimization,Reduce memory usage in cache,You are a specialized optimization agent. Reduce memory usage in cache. Provide a detailed analysis and actionable recommendations.
147,optimization,Improve API response time for /payments,You are a specialized optimization agent. Improve API response time for /payments. Provide a detailed analysis and actionable recommendations.
148,research,Analyze competitor strategies for user authentication,You are a specialized research agent. Analyze competitor strategies for user authentication. Provide a detailed analysis and actionable recommendations.
149,documentation,Write onboarding guide for backend service,You are a specialized documentation agent. Write onboarding guide for backend service. Provide a detailed analysis and actionable recommendations.
150,security_audit,Audit authentication implementation in data pipeline,You are a specialized security audit agent. Audit authentication implementation in data pipeline. Provide a detailed analysis and actionable recommendations.
151,data_analysis,Calculate statistical correlations in user data,You are a specialized data analysis agent. Calculate statistical correlations in user data. Provide a detailed analysis and actionable recommendations.
152,content_generation,Draft a technical specification for database,You are a specialized content generation agent. Draft a technical specification for database. Provide a detailed analysis and actionable recommendations.
153,file_processing,Convert CSV files to CSV,You are a specialized file processing agent. Convert CSV files to CSV. Provide a detailed analysis and actionable recommendations.
154,data_analysis,Calculate statistical correlations in user data,You are a specialized data analysis agent. Calculate statistical correlations in user data. Provide a detailed analysis and actionable recommendations.
155,documentation,Create troubleshooting guide for crashes,You are a specialized documentation agent. Create troubleshooting guide for crashes. Provide a detailed analysis and actionable recommendations.
156,documentation,Write migration guide from v3.0 to v6.0,You are a specialized documentation agent. Write migration guide from v3.0 to v6.0. Provide a detailed analysis and actionable recommendations.
157,content_generation,Generate product descriptions for features,You are a specialized content generation agent. Generate product descriptions for features. Provide a detailed analysis and actionable recommendations.
158,debugging,Investigate memory leak in payment,You are a specialized debugging agent. Investigate memory leak in payment. Provide a detailed analysis and actionable recommendations.
159,code_review,Review auth.py for security vulnerabilities,You are a specialized code review agent. Review auth.py for security vulnerabilities. Provide a detailed analysis and actionable recommendations.
160,file_processing,Clean and normalize data in payment.py,You are a specialized file processing agent. Clean and normalize data in payment.py. Provide a detailed analysis and actionable recommendations.
161,research,Research the history and evolution of Go,You are a specialized research agent. Research the history and evolution of Go. Provide a detailed analysis and actionable recommendations.
162,research,Analyze the impact of 5G on logistics,You are a specialized research agent. Analyze the impact of 5G on logistics. Provide a detailed analysis and actionable recommendations.
163,content_generation,Write release notes for v2.1,You are a specialized content generation agent. Write release notes for v2.1. Provide a detailed analysis and actionable recommendations.
164,security_audit,Scan frontend for common vulnerabilities,You are a specialized security audit agent. Scan frontend for common vulnerabilities. Provide a detailed analysis and actionable recommendations.
165,data_analysis,Extract key metrics from sales data and create summary,You are a specialized data analysis agent. Extract key metrics from sales data and create summary. Provide a detailed analysis and actionable recommendations.
166,testing,Create end-to-end tests for approval,You are a specialized testing agent. Create end-to-end tests for approval. Provide a detailed analysis and actionable recommendations.
167,research,Analyze competitor strategies for frontend,You are a specialized research agent. Analyze competitor strategies for frontend. Provide a detailed analysis and actionable recommendations.
168,code_review,Audit database for memory leaks,You are a specialized code review agent. Audit database for memory leaks. Provide a detailed analysis and actionable recommendations.
169,data_analysis,Analyze performance metrics for frontend,You are a specialized data analysis agent. Analyze performance metrics for frontend. Provide a detailed analysis and actionable recommendations.
170,security_audit,Audit third-party dependencies for vulnerabilities,You are a specialized security audit agent. Audit third-party dependencies for vulnerabilities. Provide a detailed analysis and actionable recommendations.
171,testing,Validate form inputs and error handling,You are a specialized testing agent. Validate form inputs and error handling. Provide a detailed analysis and actionable recommendations.
172,documentation,Document database schema for user authentication,You are a specialized documentation agent. Document database schema for user authentication. Provide a detailed analysis and actionable recommendations.
173,file_processing,Validate JSON files for correct structure,You are a specialized file processing agent. Validate JSON files for correct structure. Provide a detailed analysis and actionable recommendations.
174,optimization,Optimize image assets for web app,You are a specialized optimization agent. Optimize image assets for web app. Provide a detailed analysis and actionable recommendations.
175,documentation,Document database schema for database,You are a specialized documentation agent. Document database schema for database. Provide a detailed analysis and actionable recommendations.
176,research,Research the history and evolution of Azure,You are a specialized research agent. Research the history and evolution of Azure. Provide a detailed analysis and actionable recommendations.
177,file_processing,Clean and normalize data in admin.py,You are a specialized file processing agent. Clean and normalize data in admin.py. Provide a detailed analysis and actionable recommendations.
178,research,Analyze the impact of automation on logistics,You are a specialized research agent. Analyze the impact of automation on logistics. Provide a detailed analysis and actionable recommendations.
179,data_analysis,Analyze sales data from database and identify trends,You are a specialized data analysis agent. Analyze sales data from database and identify trends. Provide a detailed analysis and actionable recommendations.
180,code_review,Check service for race conditions and concurrency issues,You are a specialized code review agent. Check service for race conditions and concurrency issues. Provide a detailed analysis and actionable recommendations.
181,documentation,Write onboarding guide for frontend app,You are a specialized documentation agent. Write onboarding guide for frontend app. Provide a detailed analysis and actionable recommendations.
182,data_analysis,Calculate statistical correlations in transaction data,You are a specialized data analysis agent. Calculate statistical correlations in transaction data. Provide a detailed analysis and actionable recommendations.
183,debugging,Debug Timeout error in database,You are a specialized debugging agent. Debug Timeout error in database. Provide a detailed analysis and actionable recommendations.
184,testing,Test cross-browser compatibility for notifications,You are a specialized testing agent. Test cross-browser compatibility for notifications. Provide a detailed analysis and actionable recommendations.
185,code_review,Review database queries for optimization opportunities,You are a specialized code review agent. Review database queries for optimization opportunities. Provide a detailed analysis and actionable recommendations.
186,file_processing,Parse YAML files and extract user info,You are a specialized file processing agent. Parse YAML files and extract user info. Provide a detailed analysis and actionable recommendations.
187,research,Summarize recent developments in React,You are a specialized research agent. Summarize recent developments in React. Provide a detailed analysis and actionable recommendations.
188,debugging,Investigate why search is not working as expected,You are a specialized debugging agent. Investigate why search is not working as expected. Provide a detailed analysis and actionable recommendations.
189,file_processing,Parse YAML files and extract transactions,You are a specialized file processing agent. Parse YAML files and extract transactions. Provide a detailed analysis and actionable recommendations.
190,content_generation,Generate marketing copy for authentication,You are a specialized content generation agent. Generate marketing copy for authentication. Provide a detailed analysis and actionable recommendations.
191,security_audit,Audit third-party dependencies for vulnerabilities,You are a specialized security audit agent. Audit third-party dependencies for vulnerabilities. Provide a detailed analysis and actionable recommendations.
192,file_processing,Parse CSV files and extract metrics,You are a specialized file processing agent. Parse CSV files and extract metrics. Provide a detailed analysis and actionable recommendations.
193,documentation,Document deployment process for web app,You are a specialized documentation agent. Document deployment process for web app. Provide a detailed analysis and actionable recommendations.
194,debugging,Reproduce and analyze display glitch,You are a specialized debugging agent. Reproduce and analyze display glitch. Provide a detailed analysis and actionable recommendations.
195,testing,Perform regression testing after refactoring,You are a specialized testing agent. Perform regression testing after refactoring. Provide a detailed analysis and actionable recommendations.
196,security_audit,Audit logging and monitoring setup,You are a specialized security audit agent. Audit logging and monitoring setup. Provide a detailed analysis and actionable recommendations.
197,content_generation,Create FAQ content for message queue,You are a specialized content generation agent. Create FAQ content for message queue. Provide a detailed analysis and actionable recommendations.
198,optimization,Optimize database queries in analytics,You are a specialized optimization agent. Optimize database queries in analytics. Provide a detailed analysis and actionable recommendations.
199,content_generation,Write email templates for notifications,You are a specialized content generation agent. Write email templates for notifications. Provide a detailed analysis and actionable recommendations.
200,testing,Test cross-browser compatibility for checkout,You are a specialized testing agent. Test cross-browser compatibility for checkout. Provide a detailed analysis and actionable recommendations.
201,security_audit,Audit logging and monitoring setup,You are a specialized security audit agent. Audit logging and monitoring setup. Provide a detailed analysis and actionable recommendations.
202,optimization,Improve load time for profile,You are a specialized optimization agent. Improve load time for profile. Provide a detailed analysis and actionable recommendations.
203,research,Evaluate the pros and cons of backend,You are a specialized research agent. Evaluate the pros and cons of backend. Provide a detailed analysis and actionable recommendations.
204,security_audit,Audit authentication implementation in cache layer,You are a specialized security audit agent. Audit authentication implementation in cache layer. Provide a detailed analysis and actionable recommendations.
205,data_analysis,Compare year-over-year growth in performance,You are a specialized data analysis agent. Compare year-over-year growth in performance. Provide a detailed analysis and actionable recommendations.
206,research,Research market trends in entertainment,You are a specialized research agent. Research market trends in entertainment. Provide a detailed analysis and actionable recommendations.
207,data_analysis,Identify anomalies in numerical data,You are a specialized data analysis agent. Identify anomalies in numerical data. Provide a detailed analysis and actionable recommendations.
208,debugging,Debug intermittent failures in load test,You are a specialized debugging agent. Debug intermittent failures in load test. Provide a detailed analysis and actionable recommendations.
209,data_analysis,Extract key metrics from user data and create summary,You are a specialized data analysis agent. Extract key metrics from user data and create summary. Provide a detailed analysis and actionable recommendations.
210,security_audit,Review data handling compliance with SOC2,You are a specialized security audit agent. Review data handling compliance with SOC2. Provide a detailed analysis and actionable recommendations.
211,research,Investigate best practices for blockchain,You are a specialized research agent. Investigate best practices for blockchain. Provide a detailed analysis and actionable recommendations.
212,content_generation,Write release notes for v2.2,You are a specialized content generation agent. Write release notes for v2.2. Provide a detailed analysis and actionable recommendations.
213,security_audit,Audit access control mechanisms in payment,You are a specialized security audit agent. Audit access control mechanisms in payment. Provide a detailed analysis and actionable recommendations.
214,code_review,Check handler for race conditions and concurrency issues,You are a specialized code review agent. Check handler for race conditions and concurrency issues. Provide a detailed analysis and actionable recommendations.
215,optimization,Reduce bundle size for dashboard,You are a specialized optimization agent. Reduce bundle size for dashboard. Provide a detailed analysis and actionable recommendations.
216,security_audit,Audit infrastructure security configuration,You are a specialized security audit agent. Audit infrastructure security configuration. Provide a detailed analysis and actionable recommendations.
217,code_review,Check notification for code quality and best practices,You are a specialized code review agent. Check notification for code quality and best practices. Provide a detailed analysis and actionable recommendations.
